교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,경도,
강원특별자치도교육청,강릉교육지원청,가온유치원,사립(사인),김양희,김양희,20141015,20150302,강원특별자치도 강릉시 하슬라로20번길 15,033-645-1231,033-645-1230,https://gaon.gwe.kg.kr,08시00분~16시30분,2,2,1,0,0,120,46,48,26,0,0,46,48,26,0,0,37.75610901,128.8793581
강원특별자치도교육청,강릉교육지원청,강동초등학교병설유치원,공립(병설),최돈준,최돈준,19810301,19810301,강원특별자치도 강릉시 단경로 20,033-645-7266,033-645-0413,http://kangdong.gwe.es.kr,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.72487444,128.962885
강원특별자치도교육청,강릉교육지원청,강릉유치원,사립(사인),이상천,박지희,19830310,19830310,강원특별자치도 강릉시 해안로 333,033-652-9360,033-651-9362,http://gangneung-kids.gwe.kg.kr,08시10분~18시30분,1,1,1,0,0,78,24,26,28,0,0,18,21,26,0,0,37.79382083,128.9167568
강원특별자치도교육청,강릉교육지원청,강릉초등학교병설유치원,공립(병설),고문석,고문석,19810310,19810310,강원특별자치도 강릉시 토성로 103,033-650-2670,033-645-2554,http://kangnung.gwe.es.kr/,08시00분~19시00분,1,1,1,0,0,56,14,20,22,0,0,12,11,17,0,0,37.75404195,128.8879944
강원특별자치도교육청,강릉교육지원청,경포대초등학교병설유치원,공립(병설),박미숙,박미숙,19810301,19810301,강원특별자치도 강릉시 경포로475번길 23-11,033-610-8961,033-644-9702, ,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,6,0,37.8048716,128.8996773
강원특별자치도교육청,강릉교육지원청,경포유치원,공립(단설),김갑주,김갑주,20031008,20031008,강원특별자치도 강릉시 솔올로 90,033-647-1682,033-647-1687,http://kyongpo.gwe.kg.kr,07시30분~18시30분,1,2,2,0,1,98,14,38,42,0,4,14,38,43,0,5,37.76960037,128.8792477
강원특별자치도교육청,강릉교육지원청,교동초등학교병설유치원,공립(병설),배정호,배정호,19810301,19810301,강원특별자치도 강릉시 율곡로2968번길 10,033-640-3571,033-645-0475,http://krkyodong.gwe.es.kr,09시00분~17시00분,0,0,1,1,0,36,0,0,22,14,0,0,0,12,9,0,37.76731097,128.8935875
강원특별자치도교육청,강릉교육지원청,구정초등학교병설유치원,공립(병설),김기환,김기환,19810310,19810310,강원특별자치도 강릉시 범일로 266-14,033-647-9608,033-647-9604,http://gujoung.gwe.es.kr,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,5,0,37.7178635,128.89097
강원특별자치도교육청,강릉교육지원청,금광초등학교병설유치원,공립(병설),김진홍,김진홍,19810318,19810318,강원특별자치도 강릉시 금평로 575,033-646-9424,033-647-4980,http://www.kumkwang.gwe.es.kr/,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.70388477,128.9135569
강원특별자치도교육청,강릉교육지원청,남산초등학교병설유치원,공립(병설),김석남,김석남,19910310,19910310,강원특별자치도 강릉시 남산초교길 33,033-650-4705,033-650-4777,https://namsan-n.gwe.es.kr/sub/info.do?m=02&s=namsan_n,09시00분~17시00분,0,0,1,1,0,36,0,0,22,14,0,0,0,6,5,0,37.74449006,128.8923763
강원특별자치도교육청,강릉교육지원청,노암초등학교병설유치원,공립(병설),장진수,장진수,19800301,19801014,강원특별자치도 강릉시 노암등길 71,033-640-6174,033-641-1419, ,09시00분~17시00분,0,0,1,1,0,36,0,0,22,14,0,0,0,10,4,0,37.74151127,128.9022681
강원특별자치도교육청,강릉교육지원청,늘해랑유치원,공립(단설),윤영순,윤영순,20220301,20220301,강원특별자치도 강릉시 명주로17번길 24-1,033-823-2333,033-823-2329,https://neulhaerang.gwe.kg.kr,08시00분~19시00분,1,2,2,0,1,97,12,39,42,0,4,12,39,42,0,4,37.75143953,128.8878372
강원특별자치도교육청,강릉교육지원청,다인유치원,사립(사인),김상희,박진아,20070223,20070301,강원특별자치도 강릉시 성덕로 232-11,033-652-7701,070-4355-4748,https://dain.gwe.kg.kr,08시00분~19시00분,1,2,2,0,0,130,24,52,54,0,0,24,50,50,0,0,37.7601425,128.9295368
강원특별자치도교육청,강릉교육지원청,명주초등학교병설유치원,공립(병설),김태순,김태순,19810301,19810301,강원특별자치도 강릉시 강변로 86-1,033-645-1735,033-645-1712, ,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,6,0,37.74277623,128.8784682
강원특별자치도교육청,강릉교육지원청,모산초등학교병설유치원,공립(병설),박춘옥,박춘옥,19810310,19810310,강원특별자치도 강릉시 모산로224번길 3,033-645-1399,033-645-1351, ,08시40분~16시40분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,9,0,37.73174359,128.9021758
강원특별자치도교육청,강릉교육지원청,사천초등학교병설유치원,공립(병설),한기철,한기철,19810310,19810310,강원특별자치도 강릉시 미노길 46,033-660-6571,033-644-0748,http://kwsachon.gwe.es.kr/boardCnts/list.do?boardID=68458&m=020601&s=kwsachon,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,5,0,37.8220183,128.8497679
강원특별자치도교육청,강릉교육지원청,성산초등학교병설유치원,공립(병설),류시덕,류시덕,19870304,19870304,강원특별자치도 강릉시 구산길 15,033-641-9107,033-641-9007,http://seongsan.gwe.es.kr,08시30분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,5,0,37.71812762,128.8331694
강원특별자치도교육청,강릉교육지원청,성원유치원,사립(사인),최은서,전주현,20030113,20030113,강원특별자치도 강릉시 강변로 78,033-642-0143,033-642-0141,http://www.sungwonkid.com/,09시00분~17시00분,2,2,2,0,0,156,48,52,56,0,0,32,40,46,0,0,37.74385292,128.8775712
강원특별자치도교육청,강릉교육지원청,소화유치원,사립(사인),홍은경,홍은경,19670310,19670310,강원특별자치도 강릉시 임영로 148,033-643-3191,033-641-6383, ,08시00분~18시30분,2,1,1,0,0,106,48,26,28,0,0,37,26,26,0,0,37.75468719,128.89243
강원특별자치도교육청,강릉교육지원청,솔향유치원,공립(단설),김은정,김은정,20121010,20160301,강원특별자치도 강릉시 보래미하길 78,033-650-0910,033-653-8517,http://solhyang.gwe.kg.kr/,08시00분~19시00분,1,2,2,0,1,98,13,37,44,0,4,13,37,44,0,5,37.7755029,128.9141271
강원특별자치도교육청,강릉교육지원청,신영초등학교병설유치원,공립(병설),박동삼,박동삼,19810301,19810301,강원특별자치도 강릉시 주문북로 160,033-660-6082,033-661-3534, ,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.90592894,128.8219894
강원특별자치도교육청,강릉교육지원청,신왕초등학교병설유치원,공립(병설),김인자,김인자,19810301,19810301,강원특별자치도 강릉시 진고개로 2265-11,033-660-7511,033-661-5993, ,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,4,0,37.85359483,128.7872955
강원특별자치도교육청,강릉교육지원청,연곡초등학교병설유치원,공립(병설),김미화,김미화,20070308,20070301,강원특별자치도 강릉시 진고개로 2656,033-662-6056,033-661-7006,http://youngok.gwe.es.kr/main.do,08시40분~16시40분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,5,0,37.85598526,128.829281
강원특별자치도교육청,강릉교육지원청,영동초등학교병설유치원,공립(병설),유제호,유제호,19850922,19850922,강원특별자치도 강릉시 화부산로 28,033-650-6790,033-650-6799,http://yeongdong.gwe.es.kr,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,13,0,37.76050476,128.8867041
강원특별자치도교육청,강릉교육지원청,옥계초등학교금진분교장병설유치원,공립(병설),이경록,이경록,19820301,19820301,강원특별자치도 강릉시 금진안길 2,033-534-0107,033-534-0140, ,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.63489415,129.044053
강원특별자치도교육청,강릉교육지원청,옥계초등학교병설유치원,공립(병설),이경록,이경록,19800301,19800301,강원특별자치도 강릉시 옥계로 1074,070-4343-7512,033-534-1007, ,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,8,0,37.60945486,129.0352986
강원특별자치도교육청,강릉교육지원청,옥천초등학교병설유치원,공립(병설),김병두,김병두,20190301,20190301,강원특별자치도 강릉시 수문길 25,033-650-6895,033-648-2048,http://okcheon.gwe.es.kr/boardCnts/list.do?boardID=69281&m=1001&s=okcheones,09시00분~17시00분,0,0,1,1,0,36,0,0,22,14,0,0,0,7,9,0,37.75575677,128.9032435
강원특별자치도교육청,강릉교육지원청,왕산초등학교병설유치원,공립(병설),최성윤,최성윤,19360804,19360804,강원특별자치도 강릉시 백두대간로 2011-8,033-648-6131,033-648-6132,http://wangsan.gwe.es.kr/,08시40분~16시40분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.67360073,128.8368602
강원특별자치도교육청,강릉교육지원청,유천초등학교병설유치원,공립(병설),임금록,임금록,20200301,20200301,강원특별자치도 강릉시 선수촌로 100,033-640-1370,033-641-8099,http://yucheon.gwe.es.kr/main.do,09시00분~17시00분,0,1,1,0,1,46,0,20,22,0,4,0,2,13,0,4,37.76001124,128.8711276
강원특별자치도교육청,강릉교육지원청,정동초등학교병설유치원,공립(병설),김동옥,김동옥,19810320,19810320,강원특별자치도 강릉시 헌화로 1055,033-650-8930,033-644-5387,http://jeongdong.gwe.es.kr/,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.68749271,129.0328462
강원특별자치도교육청,강릉교육지원청,제이엠유치원,사립(사인),박영옥,김미경,20131101,20140301,강원특별자치도 강릉시 성덕로 328-1,6559494,033-646-9495,https://jmkids.gwe.kg.kr/main.do?s=jmkids,09시00분~19시00분,2,1,1,0,0,156,32,40,40,0,0,20,21,7,0,0,37.75355547,128.9208717
강원특별자치도교육청,강릉교육지원청,좋은유치원,사립(사인),이호전,이호전,19881111,19881111,강원특별자치도 강릉시 남부로136번길 19,033-642-6197,033-642-6198, ,09시00분~17시00분,2,2,2,0,0,120,35,43,42,0,0,36,42,42,0,0,37.74061536,128.8962759
강원특별자치도교육청,강릉교육지원청,주문진초등학교병설유치원,공립(병설),이열,이열,19820301,19820301,강원특별자치도 강릉시 주문로 26,033-660-8787,033-661-3290, ,08시00분~18시00분,1,1,1,0,0,56,14,20,22,0,0,4,5,18,0,0,37.88688284,128.8266409
강원특별자치도교육청,강릉교육지원청,주영초등학교병설유치원,공립(병설),정순문,정순문,19810311,19810311,강원특별자치도 강릉시 약수동길 15-12,033-660-7370,033-661-9700,http://juyoung.gwe.es.kr,08시30분~16시30분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,4,0,37.89797782,128.8260246
강원특별자치도교육청,강릉교육지원청,프렌비숲유치원,사립(법인),양미옥,양미옥,20141014,20150301,강원특별자치도 강릉시 율곡로3173번길 19,033-641-3562,033-643-3434,https://cosmos.gwe.kg.kr/main.do#popupNormal19539,07시40분~17시00분,1,2,2,0,0,128,24,48,56,0,0,24,48,56,0,0,37.78161066,128.8776972
강원특별자치도교육청,강릉교육지원청,하슬라유치원,공립(단설),박교,박교,20160301,20160301,강원특별자치도 강릉시 율곡로2692번길 8,033-649-8800,033-641-5084,http://haseulla.gwe.kg.kr/,08시00분~19시00분,1,2,2,0,1,98,14,39,41,0,4,14,24,35,0,4,37.74849992,128.9098742
강원특별자치도교육청,고성교육지원청,간성초등학교병설유치원,공립(병설),오명환,오명환,19810305,19810305,강원특별자치도 고성군 간성로39번길 20,033-681-2013,033-681-5628, ,09시00분~17시00분,0,0,1,1,0,36,0,0,22,14,0,0,0,20,14,0,38.37799691,128.4696914
강원특별자치도교육청,고성교육지원청,거성초등학교병설유치원,공립(병설),안상현,안상현,19810301,19810301,강원특별자치도 고성군 거성길 38,033-682-2636, ,https://guesung.gwe.es.kr/,08시40분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,38.45233551,128.4578834
강원특별자치도교육청,고성교육지원청,거진초등학교병설유치원,공립(병설),조수경,조수경,19810301,19810301,강원특별자치도 고성군 자산길 19,033-682-2656,033-682-2657,https://kujin.gwe.es.kr,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,4,0,38.43847297,128.4448362
강원특별자치도교육청,고성교육지원청,공현진초등학교병설유치원,공립(병설),고광민,고광민,19820301,19820301,강원특별자치도 고성군 공현진한옥길 49,033-631-3538,033-632-0165, ,08시50분~16시50분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,12,0,38.35397957,128.5073491
강원특별자치도교육청,고성교육지원청,광산초등학교병설유치원,공립(병설),정만수,정만수,19840615,19840615,강원특별자치도 고성군 진부령로 2427,033-681-0084,033-681-2802, ,08시40분~16시40분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,10,0,38.37511939,128.4132449
강원특별자치도교육청,고성교육지원청,대진초등학교병설유치원,공립(병설),김미령,김미령,19810301,19810401,강원특별자치도 고성군 대진3길 15,033-682-6273,033-682-3373, ,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,2,0,38.49696218,128.4235744
강원특별자치도교육청,고성교육지원청,동광초등학교병설유치원,공립(병설),전득재,전득재,19840310,19840310,강원특별자치도 고성군 교암1길 15,033-630-1307,033-631-9247,http://www.donggwangg.es.kr,09시00분~17시00분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,10,0,38.28891145,128.544042
